Content_name,"Content_title
","Content_description
",Repsonsible_org_for_content,Content_link,Content_type
ACC Developer Resource Centre,ACC Developer Resource Centre,"Your self-service site for ACC provider consumed services. We provide the underlying technology, products, & service categories for developers to create services that integrate directly with us. Collectively we provide a quicker, more streamlined user experience.",ACC,https://developer.acc.co.nz/,API / API Portal
API Concepts,API Concepts,"Part A: API Concepts and Management

Part A contains the business context for APIs and their use within Health NZ. It describes the principles and considerations when producing or consuming APIs, some of the benefits and pitfalls of doing so as well as their value when fostering innovation in the health sector.",HISO,https://apistandards.digital.health.nz/api-concepts/,API guidance or standard
API Design and Development Standards - HISO 10109,API Design and Development Standards - HISO 10109,"Part C: API Development - HISO 10109

Part C contains technical details for API development, including general API implementation standards for API developers and consuming application developers.",HISO,https://apistandards.digital.health.nz/api-development/,API guidance or standard
API Guidelines,API Guidelines,"The API guidelines 2022 provide government agencies context for API standards, focused design and implementation guidance, and API best practices. This is intended to help agencies achieve a consistent and common approach to developing and delivering APIs.

The API guidelines 2022
The guidelines are split into the following 3 parts:

- Part A: API concepts and management 2022. Part A contains the business context for APIs within government. It describes the principles and considerations that creating APIs could impact an agency, across government and public services, and commercial innovation. This replaces the version published in 2016 called API standard and guidelines — Part A: Business.

- Part B: API security 2022. Part B contains the API security reference architecture and technical details for implementing API security. This replaces the 2016 version called API standard and guidelines — Part B: Technical, which has been split into 2 parts for the 2022 version — Part B: API security and Part C: API development.

- Part C: API development 2022. Part C contains the technical details for API development, including general API implementation standards for API developers and consuming application developers.",DIA (Department of Internal Affairs | Te Tari Taiwhenua),https://www.digital.govt.nz/standards-and-guidance/technology-and-architecture/application-programming-interfaces-apis/api-guidelines,API guidance or standard
API Guidelines Part A - API Concepts and Management 2022,API Concepts and Management 2022,"There is a wide range in the level of knowledge and skill regarding API design and delivery across government agencies. Hence this document tries to offer a balance of guidance for those new to APIs along with quick lookup standards, which should assist agencies in achieving consistency and commonality in their API deliverables.

Part A (this document) looks at the business context for APIs within government and articulates the principles and considerations that could impact an agency when creating APIs. It looks at APIs in the context of their impact on the organisation as well as across government and public services through to commercial innovation. Version 1.0 published in 2016 was called API Standards and Guidelines - Part A – Business.",DIA (Department of Internal Affairs | Te Tari Taiwhenua),https://www.digital.govt.nz/dmsdocument/230~api-guidelines-part-a-api-concepts-and-management-2022/html ,API guidance or standard
API Guidelines Part B - API Security 2022,API Security 2022,"There is a wide range in the level of knowledge and skill regarding API design and delivery across government agencies. Hence this document tries to offer a balance of guidance for those new to APIs along with quick lookup standards, which should assist agencies in achieving consistency and commonality in their API deliverables.

Part B contains the API Security reference architecture and technical details for implementing API Security. Version 1.0 published in 2016 was called API Standards and Guidelines - Part A – Technical but has been split into a Part B - Security and Part C – Development for this version 2.0.",DIA (Department of Internal Affairs | Te Tari Taiwhenua),https://www.digital.govt.nz/dmsdocument/231~api-guidelines-part-b-api-security-2022/html,API guidance or standard
API Guidelines Part C - API Development 2022,API Development 2022,"There is a wide range in the level of knowledge and skill regarding API design and delivery across government agencies. Hence this document tries to offer a balance of guidance for those new to APIs along with quick lookup standards, which should assist agencies in achieving consistency and commonality in their API deliverables.

Part C – API Development 2022

Part C contains the technical details for API Development, including general API implementation standards for API developers & consuming application developers. Version 1.0 published in 2016 was called API Standards and Guidelines - Part A – Technical but has been split into a Part B - Security and Part C – Development for this version 2.0.",DIA (Department of Internal Affairs | Te Tari Taiwhenua),https://www.digital.govt.nz/dmsdocument/232~api-guidelines-part-c-api-development-2022/html,API guidance or standard
API Guidelines Part D - FHIR API Design and Development, FHIR API Design and Development,"Health New Zealand | Te Whatu Ora has developed API Standards based on the API Guidelines Part A, B and C. They have also developed a Part D and E. 

- Part D: HL7 FHIR API Design and Development Standards - HISO 10110. FHIR (Fast Health Care Resources) are APIs from HL7.  
- Part E: API Publishing Standards - HISO 10108

Adopting the Part D: HL7 FHIR API Design and Development Standards - HISO 10110 as an extension to the API Guidelines is unbder Future Consideration. ",DIA (Department of Internal Affairs | Te Tari Taiwhenua),https://apistandards.digital.health.nz/fhir-api-standard/,API guidance or standard
API Guidelines Part E - API Publishing,API Publishing,"Health New Zealand | Te Whatu Ora has developed API Standards based on the API Guidelines Part A, B and C. They have also developed a Part D and E. 

- Part D: HL7 FHIR API Design and Development Standards - HISO 10110. FHIR (Fast Health Care Resources) are APIs from HL7.  
- Part E: API Publishing Standards - HISO 10108

Adopting the Part D: HL7 FHIR API Design and Development Standards - HISO 10110 as an extension to the API Guidelines is unbder Future Consideration. ",DIA (Department of Internal Affairs | Te Tari Taiwhenua),https://apistandards.digital.health.nz/api-publishing/Introduction,API guidance or standard
API New Zealand Schools,API New Zealand Schools,,MINEDU (Te Tāhuhu o te Mātauranga | the Ministry of Education),https://www.educationcounts.govt.nz/data-services/directories/api-new-zealand-schools,API / API Portal
API Publishing Standards - HISO 10108,API Publishing Standards - HISO 10108,"Part E: API Publishing Standards - HISO 10108

Part E contains standards information and guidance for publishing APIs",HISO,https://apistandards.digital.health.nz/api-publishing/Introduction,API guidance or standard
API search on catalogue.data.govt.nz,API search on catalogue.data.govt.nz,A search on catalogue.data.govt.nz that returns over 2000 results for API. ,,https://catalogue.data.govt.nz/dataset/?q=API,API / API Portal
